iter	Passed	Remaining
0	0	789
1	1	697
2	1	644
3	2	626
4	3	619
5	3	609
6	4	603
7	4	599
8	5	594
9	5	593
10	6	593
11	7	590
12	7	588
13	8	586
14	8	585
15	9	584
16	10	583
17	10	581
18	11	590
19	12	600
20	12	598
21	13	601
22	14	601
23	14	600
24	15	611
25	16	616
26	17	613
27	17	616
28	18	613
29	18	613
30	19	609
31	20	606
32	20	604
33	21	602
34	21	600
35	22	598
36	22	596
37	23	595
38	24	592
39	24	590
40	25	588
41	25	586
42	26	587
43	27	588
44	27	587
45	28	586
46	28	586
47	29	585
48	30	585
49	30	583
50	31	583
51	32	583
52	32	583
53	33	585
54	34	584
55	34	584
56	35	582
57	35	580
58	36	579
59	36	578
60	37	576
61	38	574
62	38	573
63	39	572
64	39	571
65	40	570
66	40	570
67	41	568
68	42	568
69	42	567
70	43	566
71	43	564
72	44	564
73	45	564
74	45	565
75	46	564
76	47	564
77	47	563
78	48	561
79	48	560
80	49	559
81	49	558
82	50	553
83	50	552
84	51	551
85	51	550
86	52	549
87	52	548
88	53	547
89	54	546
90	54	545
91	55	547
92	56	547
93	56	546
94	57	546
95	58	546
96	58	546
97	59	545
98	59	544
99	60	543
100	60	542
101	61	541
102	62	540
103	62	539
104	63	538
105	63	537
106	64	537
107	64	536
108	65	535
109	66	534
110	66	533
111	67	532
112	67	531
113	68	530
114	68	529
115	69	528
116	69	527
117	70	527
118	71	527
119	72	528
120	72	528
121	73	526
122	73	525
123	74	525
124	74	524
125	75	522
126	75	520
127	76	519
128	76	518
129	77	517
130	77	516
131	78	514
132	78	513
133	79	512
134	79	510
135	80	509
136	80	508
137	81	507
138	81	506
139	82	505
140	82	504
141	83	502
142	83	501
143	84	500
144	84	499
145	85	498
146	85	497
147	86	496
148	86	496
149	87	496
150	88	496
151	88	495
152	89	494
153	89	493
154	90	492
155	90	491
156	91	490
157	91	489
158	92	488
159	92	487
160	93	486
161	93	485
162	94	485
163	95	484
164	95	483
165	96	482
166	96	481
167	97	480
168	97	479
169	98	479
170	98	479
171	99	480
172	100	479
173	100	478
174	101	477
175	102	477
176	102	477
177	103	477
178	103	476
179	104	476
180	104	475
181	105	474
182	105	473
183	106	472
184	107	471
185	107	470
186	107	469
187	108	468
188	108	467
189	109	466
190	109	465
191	110	464
192	110	463
193	111	463
194	112	462
195	112	461
196	113	460
197	113	460
198	114	460
199	116	465
200	117	466
201	118	467
202	119	468
203	119	468
204	120	467
205	121	467
206	122	467
207	123	470
208	124	470
209	124	470
210	125	469
211	126	468
212	126	467
213	127	466
214	127	465
215	128	465
216	128	464
217	129	463
218	129	462
219	130	461
220	130	460
221	131	459
222	131	459
223	132	458
224	132	457
225	133	457
226	134	456
227	134	456
228	135	455
229	136	455
230	136	455
231	137	454
232	137	454
233	138	453
234	138	452
235	139	451
236	139	450
237	140	449
238	140	448
239	141	447
240	141	446
241	142	445
242	142	444
243	143	444
244	143	443
245	144	442
246	144	441
247	145	440
248	145	439
249	146	439
250	147	439
251	147	439
252	148	438
253	149	437
254	149	437
255	150	436
256	150	435
257	151	434
258	151	433
259	152	433
260	152	432
261	153	431
262	153	430
263	154	429
264	154	428
265	155	427
266	155	427
267	156	426
268	156	425
269	157	424
270	157	424
271	158	423
272	158	422
273	159	421
274	159	420
275	160	420
276	160	419
277	161	418
278	161	418
279	162	417
280	163	417
281	163	417
282	164	416
283	165	415
284	165	415
285	166	414
286	166	413
287	166	412
288	167	412
289	167	411
290	168	410
291	168	409
292	169	408
293	169	408
294	170	407
295	170	406
296	171	405
297	171	405
298	172	404
299	172	403
300	173	402
301	173	402
302	174	401
303	174	400
304	175	399
305	175	399
306	176	398
307	177	397
308	177	397
309	178	396
310	178	396
311	179	395
312	179	395
313	180	394
314	181	393
315	181	393
